asset_tag,model,serial_no,purchase_cost,warranty_months,depreciation_rate,location_code,condition
AST-5000,ThinkPad X1,SN900000,85000,36,0.25,LOC-0,New
AST-5001,MacBook Pro,SN900001,86000,36,0.25,LOC-1,Good
AST-5002,Dell XPS,SN900002,87000,36,0.25,LOC-2,Fair
AST-5003,ThinkPad X1,SN900003,88000,36,0.25,LOC-3,New
AST-5004,MacBook Pro,SN900004,89000,36,0.25,LOC-4,Good
AST-5005,Dell XPS,SN900005,90000,36,0.25,LOC-0,Fair
AST-5006,ThinkPad X1,SN900006,91000,36,0.25,LOC-1,New
AST-5007,MacBook Pro,SN900007,92000,36,0.25,LOC-2,Good
AST-5008,Dell XPS,SN900008,93000,36,0.25,LOC-3,Fair
AST-5009,ThinkPad X1,SN900009,94000,36,0.25,LOC-4,New
AST-5010,MacBook Pro,SN900010,95000,36,0.25,LOC-0,Good
AST-5011,Dell XPS,SN900011,96000,36,0.25,LOC-1,Fair
AST-5012,ThinkPad X1,SN900012,97000,36,0.25,LOC-2,New
AST-5013,MacBook Pro,SN900013,98000,36,0.25,LOC-3,Good
AST-5014,Dell XPS,SN900014,99000,36,0.25,LOC-4,Fair
AST-5015,ThinkPad X1,SN900015,100000,36,0.25,LOC-0,New
AST-5016,MacBook Pro,SN900016,101000,36,0.25,LOC-1,Good
AST-5017,Dell XPS,SN900017,102000,36,0.25,LOC-2,Fair
AST-5018,ThinkPad X1,SN900018,103000,36,0.25,LOC-3,New
AST-5019,MacBook Pro,SN900019,104000,36,0.25,LOC-4,Good
