asset_tag,hardware_model,serial_no,purchase_cost_inr,warranty_expiry,allocated_seat,condition_grade
AST-4000,MacBook Pro 14,SN900000,120000,2027-01-15,BLR-001,A
AST-4001,Dell Latitude 5440,SN900037,122500,2027-02-15,MUM-002,B
AST-4002,ThinkPad X1,SN900074,125000,2027-03-15,HYD-003,C
AST-4003,MacBook Pro 14,SN900111,127500,2027-04-15,BLR-004,A
AST-4004,Dell Latitude 5440,SN900148,130000,2027-05-15,MUM-005,B
AST-4005,ThinkPad X1,SN900185,132500,2027-06-15,HYD-006,C
AST-4006,MacBook Pro 14,SN900222,135000,2027-07-15,BLR-007,A
AST-4007,Dell Latitude 5440,SN900259,137500,2027-08-15,MUM-008,B
AST-4008,ThinkPad X1,SN900296,140000,2027-09-15,HYD-009,C
AST-4009,MacBook Pro 14,SN900333,142500,2027-10-15,BLR-010,A
AST-4010,Dell Latitude 5440,SN900370,145000,2027-11-15,MUM-011,B
AST-4011,ThinkPad X1,SN900407,147500,2027-12-15,HYD-012,C
AST-4012,MacBook Pro 14,SN900444,150000,2027-01-15,BLR-013,A
AST-4013,Dell Latitude 5440,SN900481,152500,2027-02-15,MUM-014,B
AST-4014,ThinkPad X1,SN900518,155000,2027-03-15,HYD-015,C
AST-4015,MacBook Pro 14,SN900555,157500,2027-04-15,BLR-016,A
AST-4016,Dell Latitude 5440,SN900592,160000,2027-05-15,MUM-017,B
AST-4017,ThinkPad X1,SN900629,162500,2027-06-15,HYD-018,C
